text,category
Exam timetable not released during peak hours,Exams / Results
Urgent: bus is late every morning,Transport
Faculty behavior is rude during peak hours,Faculty / Academics
Question paper had errors in Block C,Exams / Results
No CCTV in corridor in Block C,Ragging / Safety
Office hours unclear during peak hours,Fees / Admin
Windows are jammed in Block C,Infrastructure
Question paper had errors,Exams / Results
Result portal is not loading since yesterday,Exams / Results
Urgent: bus seats are damaged,Transport
Poor lighting in parking area since yesterday,Ragging / Safety
Teacher is not explaining properly since yesterday,Faculty / Academics
No announcement about bus delays since yesterday,Transport
Canteen food quality is bad in Block C,Canteen
Food is overpriced in canteen since yesterday,Canteen
Food is stale in Block C,Canteen
Office is not responding during peak hours,Fees / Admin
Security is not available in block B since yesterday,Ragging / Safety
Drinking water cooler not working in hostel since yesterday,Hostel
Security guards not attentive in Block C,Ragging / Safety
Room light is flickering in hostel during peak hours,Hostel
Air circulation is poor in Block C,Infrastructure
Fee receipt not generated during peak hours,Fees / Admin
Bus timings are inconvenient since yesterday,Transport
Air circulation is poor,Infrastructure
Limited food options available in Block C,Canteen
Need more water coolers in Block C,Other
Network issue in library since yesterday,IT / WiFi
Projector not working in seminar hall since yesterday,Infrastructure
Urgent: fees portal not opening,Fees / Admin
Hostel common area is unhygienic in Block C,Hostel
Urgent: password reset not working,IT / WiFi
Food is overpriced in canteen since yesterday,Canteen
Urgent: no response for tc request,Fees / Admin
Long waiting time in canteen during peak hours,Canteen
Room light is flickering in hostel,Hostel
Threats received from seniors in Block C,Ragging / Safety
Urgent: bus seats are damaged,Transport
Bus pass not issued in Block C,Transport
Security is not available in block B during peak hours,Ragging / Safety
Faculty behavior is rude,Faculty / Academics
Urgent: faculty is not responding to doubts,Faculty / Academics
WiFi is not working in the lab during peak hours,IT / WiFi
Bus pass not issued during peak hours,Transport
Exam center changed suddenly in Block C,Exams / Results
Wardens not responding to complaints since yesterday,Hostel
Exam schedule overlaps in Block C,Exams / Results
ID card not issued in Block C,Fees / Admin
Classroom speakers not working in Block C,Infrastructure
No quiet zones in library in Block C,Other
No CCTV in corridor during peak hours,Ragging / Safety
Bonafide certificate delayed since yesterday,Fees / Admin
Urgent: no seating space in peak hours,Canteen
Urgent: canteen closes too early,Canteen
Urgent: duplicate fee charged,Fees / Admin
Duplicate fee charged since yesterday,Fees / Admin
Urgent: campus is too crowded,Other
Portal shows error while uploading in Block C,IT / WiFi
Unauthorized people entering campus in Block C,Ragging / Safety
Attendance portal is slow,IT / WiFi
Transport fee is too high in Block C,Transport
Urgent: emergency helpline not responding,Ragging / Safety
Refund not processed in Block C,Fees / Admin
Duplicate fee charged since yesterday,Fees / Admin
Hot water not available in hostel in Block C,Hostel
WiFi is not working in the lab,IT / WiFi
Bus stop changed without notice in Block C,Transport
No water in hostel bathroom during peak hours,Hostel
Faculty is absent frequently since yesterday,Faculty / Academics
Refund not processed during peak hours,Fees / Admin
Wardens not responding to complaints since yesterday,Hostel
Syllabus not completed on time since yesterday,Faculty / Academics
Answer scripts not uploaded during peak hours,Exams / Results
Wrong marks updated in portal in Block C,Exams / Results
Office is not responding since yesterday,Fees / Admin
VPN access is failing during peak hours,IT / WiFi
Urgent: faculty is not responding to doubts,Faculty / Academics
Sports equipment is damaged during peak hours,Other
No internet in classroom in Block C,IT / WiFi
Bus did not come today during peak hours,Transport
Feeling unsafe in hostel at night in Block C,Ragging / Safety
Bus breakdown on the way in Block C,Transport
Fees payment failed but amount debited in Block C,Fees / Admin
Unauthorized people entering campus during peak hours,Ragging / Safety
Wardens not responding to complaints during peak hours,Hostel
Classroom is too hot during peak hours,Infrastructure
Result portal is not loading in Block C,Exams / Results
ID card not issued,Fees / Admin
Office is not responding during peak hours,Fees / Admin
Urgent: internet speed is very slow,IT / WiFi
Urgent: food allergy info not available,Canteen
Unauthorized people entering campus during peak hours,Ragging / Safety
Portal shows error while uploading since yesterday,IT / WiFi
Limited food options available,Canteen
Mosquito problem in hostel room during peak hours,Hostel
Class is too fast to understand during peak hours,Faculty / Academics
No internet in classroom during peak hours,IT / WiFi
Fees payment failed but amount debited since yesterday,Fees / Admin
Teacher is not explaining properly during peak hours,Faculty / Academics
No digital payment accepted in Block C,Canteen
Password reset not working,IT / WiFi
Threats received from seniors,Ragging / Safety
Hall ticket not generated since yesterday,Exams / Results
Exam results are delayed in Block C,Exams / Results
Admin staff is rude during peak hours,Fees / Admin
Teacher is not explaining properly since yesterday,Faculty / Academics
No notes provided by faculty in Block C,Faculty / Academics
Need more charging points,Other
Urgent: internal marks not showing,Exams / Results
Course outcomes not explained,Faculty / Academics
Unable to login to student portal,IT / WiFi
Urgent: bus did not come today,Transport
Need more charging points since yesterday,Other
Feedback not considered,Faculty / Academics
No response for TC request during peak hours,Fees / Admin
Wrong marks updated in portal in Block C,Exams / Results
Portal shows error while uploading since yesterday,IT / WiFi
Name correction request pending in Block C,Fees / Admin
Parking space is insufficient,Other
No water in hostel bathroom,Hostel
Fees portal not opening since yesterday,Fees / Admin
Urgent: unfair internal marks given,Faculty / Academics
Transport fee is too high during peak hours,Transport
Late announcement of exam changes,Exams / Results
Door hinges are broken during peak hours,Infrastructure
Security is not available in block B in Block C,Ragging / Safety
Feeling unsafe in hostel at night,Ragging / Safety
Exam schedule overlaps during peak hours,Exams / Results
AC not cooling in hostel room,Hostel
Verbal abuse by seniors,Ragging / Safety
Urgent: no internet in classroom,IT / WiFi
Library closing too early since yesterday,Other
Bus pass not issued during peak hours,Transport
ID card not issued in Block C,Fees / Admin
Bus is overcrowded since yesterday,Transport
Urgent: bed is broken in hostel room,Hostel
Password reset not working during peak hours,IT / WiFi
Lift not working in block C,Infrastructure
Document verification delayed,Fees / Admin
Emergency helpline not responding in Block C,Ragging / Safety
Need more study space since yesterday,Other
Need more cultural events since yesterday,Other
Bus is overcrowded since yesterday,Transport
No escort service at night since yesterday,Ragging / Safety
Water leakage in lab in Block C,Infrastructure
Scholarship amount not credited,Fees / Admin
Sports equipment is damaged,Other
Urgent: poor lighting in parking area,Ragging / Safety
Lack of green spaces on campus during peak hours,Other
Urgent: portal shows error while uploading,IT / WiFi
Room light is flickering in hostel during peak hours,Hostel
Urgent: faculty is not responding to doubts,Faculty / Academics
Admit card download failed since yesterday,Exams / Results
WiFi disconnects frequently during peak hours,IT / WiFi
Name correction request pending,Fees / Admin
Emergency helpline not responding,Ragging / Safety
Fees portal not opening,Fees / Admin
Mosquito problem in hostel room since yesterday,Hostel
Long waiting time in canteen in Block C,Canteen
Urgent: ac not cooling in hostel room,Hostel
No digital payment accepted since yesterday,Canteen
Course outcomes not explained,Faculty / Academics
Food is stale during peak hours,Canteen
Need more cultural events since yesterday,Other
Canteen is overcrowded during peak hours,Canteen
Bullying in college campus in Block C,Ragging / Safety
Urgent: projector not working in seminar hall,Infrastructure
Urgent: staff behavior is rude in canteen,Canteen
Need more charging points since yesterday,Other
Answer scripts not uploaded since yesterday,Exams / Results
Two-factor authentication not working in Block C,IT / WiFi
Internet speed is very slow,IT / WiFi
Urgent: need more charging points,Other
Bus AC not working during peak hours,Transport
Bus timings are inconvenient since yesterday,Transport
Urgent: need more study space,Other
Fees portal not opening,Fees / Admin
Wardens not responding to complaints,Hostel
Water leakage in lab since yesterday,Infrastructure
Orientation sessions are unclear during peak hours,Other
Windows are jammed,Infrastructure
Urgent: need more clubs and activities,Other
Urgent: vpn access is failing,IT / WiFi
Exam results are delayed in Block C,Exams / Results
Exam center changed suddenly since yesterday,Exams / Results
Limited food options available during peak hours,Canteen
No internet in classroom since yesterday,IT / WiFi
VPN access is failing during peak hours,IT / WiFi
Suspicious activity near hostel gate in Block C,Ragging / Safety
